step,time,pos_x,pos_y,pos_z,local_x,local_y,local_z
133,1.3300,2.3718,47.7507,10.0000,-2.3718,45.9507,-10.0000
134,1.3400,2.3876,47.6811,10.0000,-2.3876,45.8811,-10.0000
135,1.3500,2.4033,47.6110,10.0000,-2.4033,45.8110,-10.0000
136,1.3600,2.4190,47.5404,10.0000,-2.4190,45.7404,-10.0000
137,1.3700,2.4346,47.4694,10.0000,-2.4346,45.6694,-10.0000
138,1.3800,2.4503,47.3979,10.0000,-2.4503,45.5979,-10.0000
139,1.3900,2.4659,47.3258,10.0000,-2.4659,45.5258,-10.0000
140,1.4000,2.4815,47.2534,10.0000,-2.4815,45.4534,-10.0000
141,1.4100,2.4971,47.1805,10.0000,-2.4971,45.3805,-10.0000
142,1.4200,2.5126,47.1071,10.0000,-2.5126,45.3071,-10.0000
143,1.4300,2.5281,47.0333,10.0000,-2.5281,45.2333,-10.0000
144,1.4400,2.5436,46.9590,10.0000,-2.5436,45.1590,-10.0000
145,1.4500,2.5591,46.8844,10.0000,-2.5591,45.0844,-10.0000
146,1.4600,2.5745,46.8093,10.0000,-2.5745,45.0093,-10.0000
147,1.4700,2.5900,46.7338,10.0000,-2.5900,44.9338,-10.0000
148,1.4800,2.6054,46.6578,10.0000,-2.6054,44.8578,-10.0000
149,1.4900,2.6208,46.5815,10.0000,-2.6208,44.7815,-10.0000
150,1.5000,2.6361,46.5048,10.0000,-2.6361,44.7048,-10.0000
151,1.5100,2.6514,46.4277,10.0000,-2.6514,44.6277,-10.0000
152,1.5200,2.6667,46.3502,10.0000,-2.6667,44.5502,-10.0000
153,1.5300,2.6820,46.2723,10.0000,-2.6820,44.4723,-10.0000
154,1.5400,2.6973,46.1940,10.0000,-2.6973,44.3940,-10.0000
155,1.5500,2.7125,46.1154,10.0000,-2.7125,44.3154,-10.0000
156,1.5600,2.7277,46.0364,10.0000,-2.7277,44.2364,-10.0000
157,1.5700,2.7429,45.9571,10.0000,-2.7429,44.1571,-10.0000
158,1.5800,2.7581,45.8774,10.0000,-2.7581,44.0774,-10.0000
159,1.5900,2.7732,45.7974,10.0000,-2.7732,43.9974,-10.0000
160,1.6000,2.7884,45.7170,10.0000,-2.7884,43.9170,-10.0000
161,1.6100,2.8035,45.6363,10.0000,-2.8035,43.8363,-10.0000
162,1.6200,2.8185,45.5552,10.0000,-2.8185,43.7552,-10.0000
163,1.6300,2.8336,45.4739,10.0000,-2.8336,43.6739,-10.0000
164,1.6400,2.8486,45.3922,10.0000,-2.8486,43.5922,-10.0000
165,1.6500,2.8636,45.3102,10.0000,-2.8636,43.5102,-10.0000
166,1.6600,2.8786,45.2279,10.0000,-2.8786,43.4279,-10.0000
167,1.6700,2.8936,45.1453,10.0000,-2.8936,43.3453,-10.0000
168,1.6800,2.9085,45.0624,10.0000,-2.9085,43.2624,-10.0000
169,1.6900,2.9234,44.9792,10.0000,-2.9234,43.1792,-10.0000
170,1.7000,2.9383,44.8957,10.0000,-2.9383,43.0957,-10.0000
171,1.7100,2.9532,44.8120,10.0000,-2.9532,43.0120,-10.0000
172,1.7200,2.9681,44.7279,10.0000,-2.9681,42.9279,-10.0000
173,1.7300,2.9829,44.6436,10.0000,-2.9829,42.8436,-10.0000
174,1.7400,2.9977,44.5590,10.0000,-2.9977,42.7590,-10.0000
175,1.7500,3.0125,44.4742,10.0000,-3.0125,42.6742,-10.0000
176,1.7600,3.0273,44.3891,10.0000,-3.0273,42.5891,-10.0000
177,1.7700,3.0420,44.3037,10.0000,-3.0420,42.5037,-10.0000
178,1.7800,3.0567,44.2181,10.0000,-3.0567,42.4181,-10.0000
